,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ
162,11,347,348,250.5,261.69000244140625,245.7252053833008,260.7696057128906,111.82184680175781,11.268180053710939,0.0405813270919099,2025-04-24 00:00:00-04:00,2025-04-25 00:00:00-04:00,1 days 00:00:00,,242.47899475097657,253.82300338745117
163,10,349,349,288.9800109863281,279.25101196289063,279.25101196289063,296.3480126953125,-108.65461069335933,11.364620458984374,-0.0375993517068902,2025-04-28 00:00:00-04:00,2025-04-28 00:00:00-04:00,0 days 00:00:00,,269.97901153564453,269.97901153564453
164,-9,351,351,279.8999938964844,279.8999938964844,298.52021143035887,283.8230074564616,-10.076399780273437,10.076399780273437,-0.004,2025-04-30 00:00:00-04:00,2025-04-30 00:00:00-04:00,0 days 00:00:00,,284.4124954223633,284.4124954223633
165,-10,352,352,280.010009765625,287.8032037353516,287.8032037353516,270.87360351562495,-89.28820396728541,11.356264270019533,-0.0318875043224425,2025-05-01 00:00:00-04:00,2025-05-01 00:00:00-04:00,0 days 00:00:00,,274.6414962768555,274.6414962768555
166,15,354,354,284.57000732421875,283.56148834228514,283.56148834228514,294.5069976806641,-32.17172959899919,17.043944869995116,-0.007536922086181037,2025-05-05 00:00:00-04:00,2025-05-05 00:00:00-04:00,0 days 00:00:00,,278.9764907836914,278.9764907836914
167,9,358,358,290.2099914550781,296.21280761718754,279.12360717773436,296.21280761718754,43.46973507568392,10.555610383300781,0.016643019558864804,2025-05-09 00:00:00-04:00,2025-05-09 00:00:00-04:00,0 days 00:00:00,,279.1055160522461,279.1055160522461
168,8,359,359,321.989990234375,321.989990234375,292.2948095703125,310.19041015625,-10.3036796875,10.3036796875,-0.004,2025-05-12 00:00:00-04:00,2025-05-12 00:00:00-04:00,0 days 00:00:00,,288.888005065918,288.888005065918
169,8,360,360,320.0,331.115205078125,312.01240478515626,331.115205078125,78.50379734374978,10.41784328125,0.030665545837402348,2025-05-13 00:00:00-04:00,2025-05-13 00:00:00-04:00,0 days 00:00:00,,312.48950958251953,312.48950958251953
170,8,361,361,342.5,347.43280761718756,327.38860717773434,347.43280761718756,28.42353601562551,11.038924921875001,0.010373553290374232,2025-05-14 00:00:00-04:00,2025-05-14 00:00:00-04:00,0 days 00:00:00,,322.63550262451173,322.63550262451173
171,8,362,362,340.3399963378906,340.3399963378906,,361.58719238281253,-10.8908798828125,10.8908798828125,-0.004,2025-05-15 00:00:00-04:00,2025-05-15 00:00:00-04:00,0 days 00:00:00,,340.5299926757813,340.5299926757813
172,14,364,364,336.29998779296875,336.29998779296875,,358.01901092529295,-18.832799316406252,18.832799316406252,-0.004,2025-05-19 00:00:00-04:00,2025-05-19 00:00:00-04:00,0 days 00:00:00,,344.8705062866211,344.8705062866211
173,-10,365,365,347.8699951171875,347.8699951171875,,331.41947174072266,-13.914799804687501,13.914799804687501,-0.004,2025-05-20 00:00:00-04:00,2025-05-20 00:00:00-04:00,0 days 00:00:00,,336.7934936523437,336.7934936523437
174,-10,367,367,331.8999938964844,340.14601135253906,340.14601135253906,323.5679626464844,-95.90109466552734,13.440920104980469,-0.028894575603830262,2025-05-22 00:00:00-04:00,2025-05-22 00:00:00-04:00,0 days 00:00:00,,326.2874984741211,326.2874984741211
175,7,370,372,364.8399963378906,355.5199890136719,,377.405615234375,-75.32509106445312,10.085039794921876,-0.029494373980192723,2025-05-28 00:00:00-04:00,2025-05-30 00:00:00-04:00,2 days 00:00:00,,353.8315139770508,351.98949737548827
176,-8,373,374,343.5,353.3891912841797,353.3891912841797,332.601591796875,-90.26375733398427,11.150227060546875,-0.032847073265642054,2025-06-02 00:00:00-04:00,2025-06-03 00:00:00-04:00,1 days 00:00:00,,336.34550018310546,334.6105010986328
177,-8,376,376,322.489990234375,318.76798828125004,338.6909875488281,318.76798828125004,19.515887968749674,10.26012765625,0.007564532450513498,2025-06-05 00:00:00-04:00,2025-06-05 00:00:00-04:00,0 days 00:00:00,,322.00147705078126,322.00147705078126
178,-9,377,377,298.8299865722656,298.8299865722656,,273.31201171875,-10.757879516601562,10.757879516601562,-0.004,2025-06-06 00:00:00-04:00,2025-06-06 00:00:00-04:00,0 days 00:00:00,,256.46301422119143,256.46301422119143
179,8,379,379,314.94000244140625,320.9231860351563,302.4083868408203,320.9231860351563,37.69165773437522,10.173811015625,0.01495985641796475,2025-06-10 00:00:00-04:00,2025-06-10 00:00:00-04:00,0 days 00:00:00,,293.1909973144531,293.1909973144531
180,8,380,381,334.3999938964844,319.5681964111328,319.5681964111328,339.13359619140624,-129.11787092773434,10.463491044921875,-0.048264755264807085,2025-06-11 00:00:00-04:00,2025-06-12 00:00:00-04:00,1 days 00:00:00,,316.6520111083984,319.2799926757813
181,-8,385,385,317.30999755859375,322.67700622558596,322.67700622558596,303.69600585937496,-53.17586139648452,10.239792060546876,-0.020947914423443702,2025-06-18 00:00:00-04:00,2025-06-18 00:00:00-04:00,0 days 00:00:00,,309.4639953613281,309.4639953613281
182,7,388,388,356.1700134277344,341.7063928222656,341.7063928222656,362.6271923828125,-111.01561392578124,9.7702696875,-0.04452753690671536,2025-06-24 00:00:00-04:00,2025-06-24 00:00:00-04:00,0 days 00:00:00,,332.14699401855466,332.14699401855466
183,5,389,389,342.70001220703125,331.8148470245361,331.8148470245361,351.4354924519857,-61.17097450479139,6.745148592315673,-0.035699429428579586,2025-06-25 00:00:00-04:00,2025-06-25 00:00:00-04:00,0 days 00:00:00,,331.7689971923828,331.7689971923828
184,-7,390,393,324.6099853515625,298.4599914550781,334.10098754882813,314.44798828125,174.32697760009765,8.722979675292969,0.07671930953047994,2025-06-26 00:00:00-04:00,2025-07-01 00:00:00-04:00,5 days 00:00:00,,315.11998443603517,312.72101440429685
185,-8,394,394,312.6300048828125,312.6300048828125,,288.68159179687495,-10.00416015625,10.00416015625,-0.004,2025-07-02 00:00:00-04:00,2025-07-02 00:00:00-04:00,0 days 00:00:00,,293.7359786987305,293.7359786987305
186,8,395,396,317.989990234375,291.3699951171875,,328.2759936523438,-222.70972070312502,9.749759765625,-0.08754588491094349,2025-07-03 00:00:00-04:00,2025-07-07 00:00:00-04:00,4 days 00:00:00,,308.49450531005857,312.2205047607422
187,-8,397,397,297.0,299.81880249023436,299.81880249023436,282.18240234375,-32.09952076171864,9.54910083984375,-0.013509899310487726,2025-07-08 00:00:00-04:00,2025-07-08 00:00:00-04:00,0 days 00:00:00,,289.88099975585936,289.88099975585936
188,8,400,401,307.8900146484375,322.264794921875,303.67259521484374,322.264794921875,104.91576523437519,10.082476953125001,0.04259466052925288,2025-07-11 00:00:00-04:00,2025-07-14 00:00:00-04:00,3 days 00:00:00,,304.10598907470705,308.8680084228516
189,-15,403,403,312.79998779296875,314.1692459106445,314.1692459106445,304.0015045166016,-39.34794877624495,18.8090770111084,-0.008386178668329108,2025-07-16 00:00:00-04:00,2025-07-16 00:00:00-04:00,0 days 00:00:00,,304.8949920654297,304.8949920654297
190,7,404,406,323.1499938964844,334.53681396484376,315.2366131591797,334.53681396484376,70.50012516845709,9.207615310058594,0.031166475763149532,2025-07-17 00:00:00-04:00,2025-07-21 00:00:00-04:00,4 days 00:00:00,,315.6860107421875,324.4360046386719
191,-8,410,410,308.739990234375,311.40598754882814,311.40598754882814,293.08798828125,-31.250314160156343,9.92233564453125,-0.012652359245895303,2025-07-25 00:00:00-04:00,2025-07-25 00:00:00-04:00,0 days 00:00:00,,299.9429931640625,299.9429931640625
192,8,411,411,318.45001220703125,328.7023974609375,309.7387976074219,328.7023974609375,71.66464347656253,10.3544385546875,0.028130256213482266,2025-07-28 00:00:00-04:00,2025-07-28 00:00:00-04:00,0 days 00:00:00,,307.4690002441406,307.4690002441406
193,9,412,412,325.54998779296875,320.3554962158203,320.3554962158203,336.0589965820312,-58.37672290649404,11.626298712158203,-0.019924136963233235,2025-07-29 00:00:00-04:00,2025-07-29 00:00:00-04:00,0 days 00:00:00,,317.4500030517578,317.4500030517578
194,12,413,413,322.17999267578125,317.13255304870603,317.13255304870603,326.94666188557943,-75.91277662229035,15.343501097387694,-0.019635187976710607,2025-07-30 00:00:00-04:00,2025-07-30 00:00:00-04:00,0 days 00:00:00,,316.8000122070313,316.8000122070313
195,15,414,414,319.6099853515625,316.48321219482426,316.48321219482426,321.9333455403646,-65.98439327746519,19.082795926391604,-0.01376352352381063,2025-07-31 00:00:00-04:00,2025-07-31 00:00:00-04:00,0 days 00:00:00,,311.98349914550784,311.98349914550784
196,-8,415,418,306.2099914550781,314.4353887939453,314.4353887939453,295.939189453125,-75.73350479492194,9.930326083984376,-0.030915673438285034,2025-08-01 00:00:00-04:00,2025-08-06 00:00:00-04:00,5 days 00:00:00,,299.87149505615236,304.8974945068359
197,7,419,420,319.7900085449219,332.7064038085938,313.51180358886717,332.7064038085938,81.27981707275418,9.13494977294922,0.036309459735149305,2025-08-07 00:00:00-04:00,2025-08-08 00:00:00-04:00,1 days 00:00:00,,312.46299896240237,318.83799438476564
198,8,421,421,335.0,340.9780090332031,323.985986328125,340.9780090332031,37.008424121093384,10.815648144531249,0.013809113478019856,2025-08-11 00:00:00-04:00,2025-08-11 00:00:00-04:00,0 days 00:00:00,,321.85650329589845,321.85650329589845
199,9,422,422,345.0,333.54673919677737,333.54673919677737,349.9965179443359,-115.29318853454569,12.213841305541992,-0.037131461685844004,2025-08-12 00:00:00-04:00,2025-08-12 00:00:00-04:00,0 days 00:00:00,,332.16048736572264,332.16048736572264
